"Region","Year","Electricity","Investment","Consumption","Population","gdpPercap"
"青海",2009,337.24,798.23,6501,557,16870.7360861759
"山东",2009,2941.07,19034.53,10494,9470,31194.0865892291
"山西",2009,1267.54,4943.16,6854,3427,20856.7259994164
"陕西",2009,740.11,6246.9,7154,3727,21459.0823718809
"上海",2009,1153.38,5043.75,26582,2210,71232.5791855204
"四川",2009,1324.61,11371.87,6863,8185,17337.3243738546
"天津",2009,550.16,4738.2,15200,1228,46495.1140065147
"西藏",2009,17.7,378.28,3985,296,15057.4324324324
"新疆",2009,547.88,2725.45,5945,2159,19624.8263084761
"云南",2009,891.19,4526.37,5976,4571,14382.8483920368
"浙江",2009,2471.44,10742.32,15867,5276,43278.4306292646
"重庆",2009,533.8,5214.28,8494,2859,23264.0783490731
"安徽",2010,1077.91,11542.94,8237,5957,22242.4038945778
"北京",2010,809.9,5402.95,24982,1962,76269.1131498471
"福建",2010,1315.09,8199.12,13187,3693,40624.153804495
"甘肃",2010,804.43,3158.34,6234,2560,15405.078125
"广东",2010,4060.13,15623.7,17211,10441,44004.0226031989
"广西",2010,993.24,7057.56,7920,4610,18551.8438177874
"贵州",2010,835.38,3104.92,6218,3479,12989.3647599885
"海南",2010,159.02,1317.04,7553,869,23250.8630609896
"河北",2010,2691.52,15083.35,8057,7194,25025.8548790659
"河南",2010,2353.96,16585.86,7837,9405,24088.2509303562
"黑龙江",2010,747.84,6812.56,9121,3833,21675.7109313853
"湖北",2010,1330.44,10262.7,8977,5728,28329.0851955307
"湖南",2010,1171.91,9663.58,8922,6570,23705.1750380518
"吉林",2010,576.98,7870.38,9241,2747,23336.366945759
"江苏",2010,3864.37,23184.28,14035,7869,52591.0535010802
"江西",2010,700.51,8772.27,7989,4462,21029.1349170775
"辽宁",2010,1715.26,16043.03,13016,4375,31762.9714285714
"内蒙古",2010,1536.83,8926.46,10925,2472,33171.1165048544
"宁夏",2010,546.77,1444.16,8992,633,24829.3838862559
"青海",2010,465.18,1016.87,7326,563,20323.2682060391
"山东",2010,3298.46,23280.52,11606,9588,35380.1627033792
"山西",2010,1460,6063.17,8447,3574,24912.9826524902
"陕西",2010,859.22,7963.67,8474,3735,26359.3038821954
"上海",2010,1295.87,5108.9,32271,2303,77791.5762049501
"四川",2010,1549.03,13116.72,8182,8045,21410.5655686762
"天津",2010,645.74,6278.09,17852,1299,52585.06543495
"西藏",2010,20.41,462.67,4469,300,17096.6666666667
"新疆",2010,661.96,3423.24,7400,2185,24531.8077803204
"云南",2010,1004.07,5528.71,6811,4602,16808.5614950022
"浙江",2010,2820.93,12376.04,18274,5447,50302.7354507068
"重庆",2010,626.44,6688.91,9723,2885,27955.979202773
"安徽",2011,1221.19,12455.69,10055,5972,27268.7541862023
"北京",2011,821.71,5578.93,27760,2024,84924.9011857708
"福建",2011,1515.86,9910.89,14958,3784,47351.2156448203
"甘肃",2011,923.45,3965.79,7493,2552,18875
"广东",2011,4399.02,17069.2,19578,10756,49342.5065079955
"广西",2011,1112.21,7990.66,9181,4655,22126.5306122449
"贵州",2011,944.13,4235.92,7389,3530,15908.2152974504
"海南",2011,185.28,1657.23,9238,890,27683.1460674157
"河北",2011,2984.9,16389.33,9551,7232,29569.5519911504
"河南",2011,2659.14,17768.95,9171,9461,27818.0953387591
"黑龙江",2011,801.87,7475.38,10634,3782,26269.1697514543
"湖北",2011,1450.76,12557.34,10873,5760,34622.3958333333
"湖南",2011,1293.44,11880.92,10547,6581,28741.832548245
"吉林",2011,630.15,7441.71,10811,2725,28383.8532110092
"江苏",2011,4281.62,26692.62,17167,8023,60873.9872865512
"江西",2011,835.1,9087.6,9523,4474,25892.9369691551
"辽宁",2011,1861.53,17726.29,15635,4379,37348.4813884449
"内蒙古",2011,1864.07,10365.17,13264,2470,38291.9028340081
"宁夏",2011,724.54,1644.74,10937,648,29811.7283950617
"青海",2011,560.68,1435.58,8744,568,24126.7605633803
"山东",2011,3635.26,26749.68,13524,9665,40418.9342990171
"山西",2011,1650.41,7073.06,9746,3562,30585.064570466
"陕西",2011,982.47,9431.08,10053,3765,32337.583001328
"上海",2011,1339.62,4962.07,35439,2356,84930.8149405773
"四川",2011,1751.44,14222.22,9903,8064,26104.7867063492
"天津",2011,695.15,7067.67,20624,1341,60495.8985831469
"西藏",2011,23.77,516.31,4730,309,19789.644012945
"新疆",2011,839.1,4632.14,8895,2225,29357.3033707865
"云南",2011,1204.07,6191,8278,4620,20612.7705627706
"浙江",2011,3116.91,14185.28,21346,5570,57189.9461400359
"重庆",2011,717.03,7473.38,11832,2944,34514.9456521739
"安徽",2012,1361.1,15425.8,10978,5978,30682.0006691201
"北京",2012,874.3,6112.4,30350,2078,91552.9355149182
"福建",2012,1579.5,12439.9,16144,3841,52566.2587867743
"甘肃",2012,994.6,5145,8542,2550,21149.4117647059
"广东",2012,4619.4,18751.5,21823,11041,51632.7325423422
"广西",2012,1153.9,9808.6,10519,4694,24080.954409885
"贵州",2012,1046.7,5717.8,8372,3587,18796.2085308057
"海南",2012,210.3,2145.4,10634,910,30652.7472527473
"河北",2012,3077.7,19661.3,10749,7262,31778.4356926467
"河南",2012,2747.7,21450,10380,9532,30383.8648762065
"黑龙江",2012,827.9,9694.7,11601,3724,29580.5585392052
"湖北",2012,1507.9,15578.3,12283,5781,39077.841203944
"湖南",2012,1346.5,14523.2,11740,6590,32180.8801213961
"吉林",2012,637,9511.5,12276,2698,32164.5663454411
"江苏",2012,4580.9,30854.2,19452,8120,66135.3448275862
"江西",2012,867.7,10774.2,10573,4475,28620.5586592179
"辽宁",2012,1899.9,21836.3,17999,4375,40796.8
"内蒙古",2012,2016.8,11875.7,15196,2464,42492.288961039
"宁夏",2012,741.8,2096.9,12120,659,32336.8740515933
"青海",2012,602.2,1883.4,10289,571,26768.826619965
"山东",2012,3794.6,31256,15095,9708,44249.3819530284
"山西",2012,1765.8,8863.3,10829,3548,32928.6922209696
"陕西",2012,1066.7,12044.5,11852,3787,37344.5999471877
"上海",2012,1353.4,5117.6,36893,2399,88810.3376406836
"四川",2012,1830.7,17040,11280,8085,29588.6209029066
"天津",2012,722.5,7934.8,22984,1378,65624.0928882438
"西藏",2012,27.8,670.5,5340,315,22546.0317460317
"新疆",2012,1151.5,6158.8,10675,2253,32897.4700399467
"云南",2012,1315.9,7831.1,9782,4631,23963.2908659037
"浙江",2012,3210.6,17649.4,22845,5685,60479.1556728232
"重庆",2012,723.5,8736.2,13655,2975,38976.1344537815
"安徽",2013,1528.1,18621.9,11618,5988,34375.41750167
"北京",2013,913.1,6847.06,33337,2125,99456.9411764706
"福建",2013,1700.7,15327.44,17115,3885,57924.8391248391
"甘肃",2013,1073.2,6527.94,9616,2537,23707.1344107213
"广东",2013,4830.1,22308.39,23739,11270,55459.9822537711
"广西",2013,1237.7,11907.67,11710,4731,26312.4075248362
"贵州",2013,1126.3,7373.6,9541,3632,21952.3678414097
"海南",2013,232,2697.93,11712,920,33868.4782608696
"河北",2013,3251.2,23194.23,11557,7288,33287.0472008782
"河南",2013,2899.2,26087.46,11782,9573,33043.4555520735
"黑龙江",2013,845.2,11453.08,12978,3666,32321.6039279869
"湖北",2013,1629.8,19307.33,13912,5798,43770.2656088306
"湖南",2013,1423.1,17841.4,12920,6600,35674.5454545455
"吉林",2013,653.8,9979.26,13676,2668,35336.9565217391
"江苏",2013,4956.6,36373.32,23585,8192,72447.998046875
"江西",2013,947.1,12850.25,11910,4476,31948.6148346738
"辽宁",2013,2008.5,25107.66,20156,4365,44006.4146620848
"内蒙古",2013,2181.9,14217.38,17168,2455,46404.8879837067
"宁夏",2013,811.2,2651.14,13537,666,34950.4504504505
